DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
221412410,6/15/2022,11/12/2020,1700,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,13600    MARINA POINT                 DR
220314085,7/22/2022,5/12/2020,1110,Southwest,THEFT OF IDENTITY,27,F,B,,Invest Cont,2500 S  SYCAMORE                     AV
222013040,8/6/2022,6/4/2020,1620,Olympic,THEFT OF IDENTITY,60,M,H,,Invest Cont,3300    SAN MARINO                   ST
220614831,8/18/2022,8/17/2020,1200,Hollywood,THEFT OF IDENTITY,28,M,H,,Invest Cont,1900    TRANSIENT
231207725,2/27/2023,1/27/2020,635,77th Street,THEFT OF IDENTITY,37,M,H,,Invest Cont,6200    4TH                          AV
220213256,7/14/2022,7/14/2020,900,Rampart,THEFT OF IDENTITY,79,M,B,,Invest Cont,1200 W  7TH                          ST
221216052,7/7/2022,2/23/2020,1000,77th Street,THEFT OF IDENTITY,28,F,B,,Invest Cont,500 W  75TH                         ST
221515929,10/10/2022,4/1/2020,1200,N Hollywood,THEFT OF IDENTITY,33,M,W,,Invest Cont,5700    CARTWRIGHT                   AV
231906599,3/3/2023,1/14/2020,1335,Mission,THEFT OF IDENTITY,35,M,O,,Invest Cont,14500    WILLOWGREEN                  LN
231207476,2/27/2023,8/15/2020,1,77th Street,BURGLARY,72,M,B,,Invest Cont,8800    HAAS                         AV
231506571,3/3/2023,7/15/2020,1700,N Hollywood,OTHER MISCELLANEOUS CRIME,21,F,W,VERBAL THREAT,Invest Cont,12300    EMELITA                      ST
230506149,2/28/2023,7/1/2020,1200,Harbor,VEHICLE - STOLEN,0,,,,Invest Cont,SANFORD
221711184,6/15/2022,5/15/2020,155,Devonshire,THEFT OF IDENTITY,27,M,B,,Invest Cont,8300    WHITE OAK                    AV
220215983,9/6/2022,5/26/2020,1200,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,200 S  CORONADO                     ST
220119956,9/6/2022,7/1/2020,1130,Central,THEFT OF IDENTITY,22,F,B,,Invest Cont,800 S  HOPE                         ST
221516944,11/3/2022,6/1/2020,1200,N Hollywood,THEFT OF IDENTITY,59,M,O,,Invest Cont,6700    BAKMAN                       AV
220712955,8/16/2022,11/8/2020,1005,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),59,F,O,,Invest Cont,100 S  FLORES                       ST
221913440,8/20/2022,4/17/2020,955,Mission,THEFT OF IDENTITY,78,F,W,,Invest Cont,15200    COBALT                       ST
231207740,2/17/2023,2/17/2020,1240,77th Street,THEFT OF IDENTITY,52,M,O,,Invest Cont,700 E  80TH                         ST
220316688,9/12/2022,9/11/2020,2100,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27,F,O,,Invest Cont,1300 W  37TH                         DR
221312369,6/3/2022,12/10/2020,700,Newton,THEFT OF IDENTITY,33,M,H,,Invest Cont,2700 S  CENTRAL                      AV
221912723,8/2/2022,11/1/2020,1100,Mission,DOCUMENT FORGERY / STOLEN FELONY,56,F,H,,Invest Cont,8900    BURNET                       AV
220120619,9/16/2022,9/15/2020,1541,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,M,H,,Invest Cont,900 S  MAIN                         ST
221216517,7/14/2022,1/1/2020,1200,77th Street,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,22,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,FIGUEROA
221513146,8/6/2022,4/20/2020,1200,N Hollywood,VEHICLE - STOLEN,0,,,,Invest Cont,12200    SHERMAN                      WY
220214438,8/8/2022,8/1/2020,900,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,700    PARKMAN                      AV
221110658,6/21/2022,2/28/2020,1625,Northeast,THEFT OF IDENTITY,39,M,C,,Invest Cont,3600    TRACY                        ST
221511470,6/22/2022,7/11/2020,1200,N Hollywood,THEFT OF IDENTITY,63,M,W,,Invest Cont,12600    OTSEGO                       ST
231207678,3/2/2023,5/1/2020,600,77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,7600 S  FIGUEROA                     ST
220911866,7/26/2022,2/1/2020,505,Van Nuys,THEFT OF IDENTITY,34,F,W,,Invest Cont,15200    LA MAIDA                     ST
220321807,12/13/2022,5/17/2020,1620,Southwest,THEFT OF IDENTITY,50,M,B,,Invest Cont,1400 W  25TH                         ST
220411016,7/18/2022,6/22/2020,1300,Hollenbeck,BURGLARY,68,M,H,,Invest Cont,4800    VALLEY                       BL
222017787,11/30/2022,1/1/2020,1200,Olympic,ORAL COPULATION,12,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1100    ARAPAHOE                     ST
221718084,12/20/2022,12/2/2020,1510,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),15,F,H,,Invest Cont,9300    TAMPA                        AV
220116036,6/17/2022,3/23/2020,1200,Central,THEFT OF IDENTITY,48,M,B,,Invest Cont,100 E  3RD                          ST
221713038,8/31/2022,3/10/2020,1800,Devonshire,"BUNCO, GRAND THEFT",32,M,O,,Invest Cont,18400    PLUMMER                      ST
221314362,7/11/2022,4/7/2020,1,Newton,THEFT OF IDENTITY,53,F,H,,Invest Cont,1600 E  OLYMPIC                      BL
231006256,2/27/2023,6/2/2020,1916,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",50,M,O,,Adult Other,16200    VENTURA                      BL
221011819,7/20/2022,7/19/2020,1800,West Valley,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),80,F,K,,Invest Cont,18400    INGOMAR                      ST
231307252,3/3/2023,7/5/2020,2305,Newton,THEFT OF IDENTITY,22,F,B,,Invest Cont,6600 S  BROADWAY
221110416,6/14/2022,10/24/2020,955,Northeast,THEFT OF IDENTITY,37,M,O,,Invest Cont,3900    GLENFELIZ                    BL
220313293,7/6/2022,6/30/2020,1400,Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,VERMONT                      AV
221614254,11/13/2022,1/1/2020,1,Foothill,THEFT OF IDENTITY,22,F,H,,Invest Cont,10200    TELFAIR                      AV
230706782,3/1/2023,7/12/2020,1925,Wilshire,THEFT OF IDENTITY,47,F,W,,Invest Cont,100 S  POINSETTIA                   PL
